day,date,start_time,end_time,session_code,workshop_short_name,talk_title,speaker,speaker_affiliation,location,priority,tc_relevance_reason,url,workshop_tc_importance
Friday,2026-06-05,09:10,10:00,FrTW,Geometry in the Age of Data-Driven Robotics,Debate 1: Education (claim — mathematical foundations of geometry are a top priority for robotics education today),"Seth Hutchinson, Stefano Stramigioli vs Frank Park, Noémie Jaquier",Northeastern / Twente / SNU / KTH,TBA,noteworthy,"Meta-discussion on whether classical geometric methods (Lie groups, screw theory) should still anchor robotics curricula in an ML-dominated era. Hutchinson and Park are co-authors of the two standard robotics textbooks. Useful context for TC educators but not technical content.",https://geometric-robotics.github.io/icra-2026-workshop/,"Geometric methods are foundational to the TC: kinematics on Lie groups, screw theory for dynamics, Riemannian optimization for trajectory generation, and manifold-aware control. This workshop's four debate panels ask whether classical geometric approaches still anchor robotics in an ML-dominated era — a direct conversation about the TC's own methodological foundations and where they intersect with learned policies."
Friday,2026-06-05,11:00,11:50,FrTW,Geometry in the Age of Data-Driven Robotics,Debate 2: Research (claim — the vast majority of interesting research questions on the role of geometry in robotics have already been answered),"Patrick Wensing, Antonio Franchi vs Andreas Müller, Georgia Chalvatzaki",Notre Dame / Sapienza-Twente / JKU / TU Darmstadt,TBA,spotlight,"Pro/contra debate explicitly about whether geometric robotics research is exhausted. Four panelists whose work defines the TC's geometric methods (Wensing on whole-body dynamics, Franchi on aerial control, Müller on screw theory, Chalvatzaki bridging classical and learning) arguing about the future of TC's own foundations. Genuinely once-per-conference format.",https://geometric-robotics.github.io/icra-2026-workshop/,"Geometric methods are foundational to the TC: kinematics on Lie groups, screw theory for dynamics, Riemannian optimization for trajectory generation, and manifold-aware control. This workshop's four debate panels ask whether classical geometric approaches still anchor robotics in an ML-dominated era — a direct conversation about the TC's own methodological foundations and where they intersect with learned policies."
Friday,2026-06-05,14:00,14:50,FrTW,Geometry in the Age of Data-Driven Robotics,Debate 3: Communication (claim — formal mathematical jargon only serves to increase the field's barrier to entry),"Ross Hatton, Zachary Manchester vs Nadia Figueroa, Bruno Vilhena Adorno",Oregon State / CMU / UPenn / Manchester,TBA,noteworthy,Pro/contra debate on whether the math-heavy style of geometric robotics papers excludes potential contributors. Important meta-discussion but more about field culture than technical methodology.,https://geometric-robotics.github.io/icra-2026-workshop/,"Geometric methods are foundational to the TC: kinematics on Lie groups, screw theory for dynamics, Riemannian optimization for trajectory generation, and manifold-aware control. This workshop's four debate panels ask whether classical geometric approaches still anchor robotics in an ML-dominated era — a direct conversation about the TC's own methodological foundations and where they intersect with learned policies."
Friday,2026-06-05,16:00,17:00,FrTW,Geometry in the Age of Data-Driven Robotics,Full Panel Discussion (synthesis across all three debates),"Hutchinson, Stramigioli, Park, Jaquier, Wensing, Franchi, Müller, Chalvatzaki, Hatton, Manchester, Figueroa, Adorno",Various,TBA,spotlight,"All twelve panelists in one room synthesizing the day's debates on geometric methods in robotics. Pulls together TC senior figures from kinematics (Park), dynamics (Wensing, Manchester), control (Stramigioli, Franchi), geometric mechanics (Hatton, Adorno) and learning (Jaquier, Chalvatzaki, Figueroa) at the same table. Closing community moment of the workshop day.",https://geometric-robotics.github.io/icra-2026-workshop/,"Geometric methods are foundational to the TC: kinematics on Lie groups, screw theory for dynamics, Riemannian optimization for trajectory generation, and manifold-aware control. This workshop's four debate panels ask whether classical geometric approaches still anchor robotics in an ML-dominated era — a direct conversation about the TC's own methodological foundations and where they intersect with learned policies."
Friday,2026-06-05,08:30,09:45,FrTW,AI-Driven Safe Aerial Robotics,Collision Avoidance in Aerial Vehicles,Nora Ayanian,Brown University,TBA,important,Collision avoidance for multiple aerial vehicles is a core motion-planning problem. Ayanian's group works on decentralized multi-robot coordination algorithms — exactly the kind of distributed planning the TC cares about.,https://aerial-robotics-workshop-icra.com/,"Aerial robotics is a heavy consumer of TC methods: MPC and MPPI for tracking, trajectory optimization for agile flight, control barrier functions for safety, and RL-augmented controllers for envelope-edge maneuvers. The workshop's safety framing keeps the talks on the planning and control side rather than perception in isolation. Includes talks on learned MPC for aggressive flight and multi-vehicle collision avoidance."
Friday,2026-06-05,09:45,11:00,FrTW,AI-Driven Safe Aerial Robotics,Aggressive acrobatics in insect-scale aerial robots via deep-learned model predictive control,Kevin Chen,MIT,TBA,important,Title is explicit: deep-learned MPC for aggressive flight on insect-scale robots. Sits at the intersection of learning-augmented control and constrained real-time optimization on extremely limited compute — both TC priorities.,https://aerial-robotics-workshop-icra.com/,"Aerial robotics is a heavy consumer of TC methods: MPC and MPPI for tracking, trajectory optimization for agile flight, control barrier functions for safety, and RL-augmented controllers for envelope-edge maneuvers. The workshop's safety framing keeps the talks on the planning and control side rather than perception in isolation. Includes talks on learned MPC for aggressive flight and multi-vehicle collision avoidance."
Friday,2026-06-05,14:00,15:15,FrTW,AI-Driven Safe Aerial Robotics,"Toward Physical AI: Autonomy, Collaboration, and Language-Guided Behavior in Robotic Systems",Vijay Kumar,University of Pennsylvania,TBA,important,"Kumar is a foundational figure in aerial robotics — multi-robot coordination, agile flight, swarm control. The title here is broad (vision talk) but Kumar's perspective on where autonomy is going for physical AI is worth hearing for any TC member working on multi-robot or aerial planning.",https://aerial-robotics-workshop-icra.com/,"Aerial robotics is a heavy consumer of TC methods: MPC and MPPI for tracking, trajectory optimization for agile flight, control barrier functions for safety, and RL-augmented controllers for envelope-edge maneuvers. The workshop's safety framing keeps the talks on the planning and control side rather than perception in isolation. Includes talks on learned MPC for aggressive flight and multi-vehicle collision avoidance."
Friday,2026-06-05,08:30,09:45,FrTW,AI-Driven Safe Aerial Robotics,"Reliable Visual Navigation, Anytime, Anywhere",Elia Kaufmann,Skydio,TBA,noteworthy,Kaufmann is known for the UZH champion-level drone racing work; now at Skydio. Visual navigation is TC-adjacent — the work produces flight controllers but the framing here is perception-to-policy rather than planning/control algorithm design.,https://aerial-robotics-workshop-icra.com/,"Aerial robotics is a heavy consumer of TC methods: MPC and MPPI for tracking, trajectory optimization for agile flight, control barrier functions for safety, and RL-augmented controllers for envelope-edge maneuvers. The workshop's safety framing keeps the talks on the planning and control side rather than perception in isolation. Includes talks on learned MPC for aggressive flight and multi-vehicle collision avoidance."
Friday,2026-06-05,08:30,09:45,FrTW,AI-Driven Safe Aerial Robotics,Embodied AI on Tiny Robots,Daniele Palossi,SUPSI-IDSIA,TBA,noteworthy,Onboard ML for tiny drones (nano-drones). Mostly about deploying learned policies on extremely constrained MCUs; relevant context for TC members thinking about real-time computation budgets.,https://aerial-robotics-workshop-icra.com/,"Aerial robotics is a heavy consumer of TC methods: MPC and MPPI for tracking, trajectory optimization for agile flight, control barrier functions for safety, and RL-augmented controllers for envelope-edge maneuvers. The workshop's safety framing keeps the talks on the planning and control side rather than perception in isolation. Includes talks on learned MPC for aggressive flight and multi-vehicle collision avoidance."
Friday,2026-06-05,14:00,15:15,FrTW,AI-Driven Safe Aerial Robotics,De-risking Autonomy: Leonardo's approach to safe and reliable autonomous systems,Fabrizio Schiano,Leonardo,TBA,noteworthy,Industry safety engineering perspective from a major aerospace company. Useful real-world deployment context but not a TC algorithmic contribution.,https://aerial-robotics-workshop-icra.com/,"Aerial robotics is a heavy consumer of TC methods: MPC and MPPI for tracking, trajectory optimization for agile flight, control barrier functions for safety, and RL-augmented controllers for envelope-edge maneuvers. The workshop's safety framing keeps the talks on the planning and control side rather than perception in isolation. Includes talks on learned MPC for aggressive flight and multi-vehicle collision avoidance."
Friday,2026-06-05,14:00,15:15,FrTW,AI-Driven Safe Aerial Robotics,"Bio-inspired AI for inherently safe, lightweight flying robots",Guido de Croon,TU Delft,TBA,noteworthy,Bio-inspired control for tiny flying robots. De Croon's lab does some genuine control work on MAVs; this specific talk's framing is bio-inspired AI which is more design-philosophy than control methodology.,https://aerial-robotics-workshop-icra.com/,"Aerial robotics is a heavy consumer of TC methods: MPC and MPPI for tracking, trajectory optimization for agile flight, control barrier functions for safety, and RL-augmented controllers for envelope-edge maneuvers. The workshop's safety framing keeps the talks on the planning and control side rather than perception in isolation. Includes talks on learned MPC for aggressive flight and multi-vehicle collision avoidance."
Friday,2026-06-05,09:15,09:45,FrTW,Uncertainty in Open-World Robotics,TBD,Marija Popović,TU Delft,TBA,important,Popović works on informative path planning — choosing UAV trajectories that maximize information gain for environmental monitoring. Direct TC scope: planning under uncertainty with information-theoretic objectives. Talk title not yet published but her core research area is squarely TC.,https://uncertainty-in-robotics.github.io/,"Planning under uncertainty is a defining TC topic — POMDPs, belief-space planning, informative path planning, and risk-aware MPC all fall here. The workshop's hierarchical-planning and information-gathering talks map directly onto motion planning when the environment is partially observed or actively changing. Small but topically dense for TC scope."
Friday,2026-06-05,09:45,10:15,FrTW,Uncertainty in Open-World Robotics,Scalable Multi-Agent Navigation: Hierarchical Planning Under Real-World Uncertainty,Nicholas Roy,Massachusetts Institute of Technology,TBA,spotlight,Nick Roy is the senior figure in planning under uncertainty / POMDP-based navigation. His group has produced foundational work on belief-space planning and motion planning under uncertainty. The title literally says 'Hierarchical Planning Under Real-World Uncertainty' — bullseye TC content from the leading voice in the subfield. Run across the convention for this one.,https://uncertainty-in-robotics.github.io/,"Planning under uncertainty is a defining TC topic — POMDPs, belief-space planning, informative path planning, and risk-aware MPC all fall here. The workshop's hierarchical-planning and information-gathering talks map directly onto motion planning when the environment is partially observed or actively changing. Small but topically dense for TC scope."
Friday,2026-06-05,09:00,17:15,FrTW,Scaling Compositional Intelligence for Multi-Agent Robotic Systems,Invited Talk (slot TBD),Marco Pavone,Stanford University / NVIDIA,TBA,important,"Pavone's group does multi-robot motion planning, decentralized control, and AV decision-making in the classical TC tradition. For a multi-agent workshop, his contribution is the most planning-and-control-flavored.",https://mars-eai.github.io/ICRA-SCI-MARS-Webpage/,"Multi-robot motion planning, decentralized control, and multi-agent trajectory optimization are core TC topics. This workshop spans those classical multi-robot planning questions and the newer multi-agent learned-policy direction. The strongest TC overlap comes from the multi-robot coordination and AV decision-making talks; the learned-policy talks are more adjacent."
Friday,2026-06-05,09:00,17:15,FrTW,Scaling Compositional Intelligence for Multi-Agent Robotic Systems,Invited Talk (slot TBD),Xu Liu,Stanford University,TBA,important,Stanford MSL (Mac Schwager's Multi-robot Systems Lab) — decentralized control and multi-robot motion coordination. Direct TC scope: multi-robot motion planning algorithms.,https://mars-eai.github.io/ICRA-SCI-MARS-Webpage/,"Multi-robot motion planning, decentralized control, and multi-agent trajectory optimization are core TC topics. This workshop spans those classical multi-robot planning questions and the newer multi-agent learned-policy direction. The strongest TC overlap comes from the multi-robot coordination and AV decision-making talks; the learned-policy talks are more adjacent."
Friday,2026-06-05,09:00,17:15,FrTW,Scaling Compositional Intelligence for Multi-Agent Robotic Systems,Invited Talk (slot TBD),Chelsea Finn,Stanford University / Physical Intelligence,TBA,noteworthy,Co-leads Physical Intelligence; pioneer in imitation learning and meta-learning for robot policies. Highly influential but builds learned policies rather than planning/control algorithms — TC-adjacent.,https://mars-eai.github.io/ICRA-SCI-MARS-Webpage/,"Multi-robot motion planning, decentralized control, and multi-agent trajectory optimization are core TC topics. This workshop spans those classical multi-robot planning questions and the newer multi-agent learned-policy direction. The strongest TC overlap comes from the multi-robot coordination and AV decision-making talks; the learned-policy talks are more adjacent."
Friday,2026-06-05,09:00,17:15,FrTW,Scaling Compositional Intelligence for Multi-Agent Robotic Systems,Invited Talk (slot TBD),Eugene Vinitsky,NYU Tandon,TBA,noteworthy,Multi-agent RL for autonomous driving and traffic. Multi-agent RL produces multi-agent policies but doesn't advance multi-agent planning algorithms in the classical sense — TC-adjacent.,https://mars-eai.github.io/ICRA-SCI-MARS-Webpage/,"Multi-robot motion planning, decentralized control, and multi-agent trajectory optimization are core TC topics. This workshop spans those classical multi-robot planning questions and the newer multi-agent learned-policy direction. The strongest TC overlap comes from the multi-robot coordination and AV decision-making talks; the learned-policy talks are more adjacent."
